File,Trait,True_Bias,Min_N_Required,Total_Samples
ASAP_2_Final_github_test_meta-llama3-1-70b-instruct-v1-0_guidelines_prompt.json,score,-0.41511219248445524,20,7398
ASAP_2_Final_github_test_meta-llama3-1-70b-instruct-v1-0_keywords_system_prompt.json,score,-0.07265130071438199,515,7419
ASAP_2_Final_github_test_meta-llama3-1-8b-instruct-v1-0_guidelines_prompt.json,score,-0.6485375387518534,10,7419
ASAP_2_Final_github_test_meta-llama3-1-8b-instruct-v1-0_keywords_system_prompt.json,score,-0.4319498719849077,15,7421
ASAP_2_Final_github_test_openai-gpt-oss-120b-1-0_guidelines_prompt.json,score,-1.475946637919418,5,7421
ASAP_2_Final_github_test_openai-gpt-oss-120b-1-0_keywords_system_prompt.json,score,-0.6897318420698019,10,7421
ASAP_2_Final_github_test_openai-gpt-oss-20b-1-0_guidelines_prompt.json,score,-1.4527436969124983,5,7417
ASAP_2_Final_github_test_openai-gpt-oss-20b-1-0_keywords_system_prompt.json,score,-1.1321606685537133,5,7419
ASAP_2_Final_github_train_meta-llama3-1-405b-instruct-v1-0_guidelines_prompt.json,score,-0.6213670769052985,10,17307
ASAP_2_Final_github_train_meta-llama3-1-405b-instruct-v1-0_keywords_system_prompt.json,score,-0.34332928872710466,30,17307
ASAP_2_Final_github_train_meta-llama3-1-70b-instruct-v1-0_guidelines_prompt.json,score,-0.37326841708688346,20,17253
ASAP_2_Final_github_train_meta-llama3-1-70b-instruct-v1-0_keywords_system_prompt.json,score,-0.04207849257268366,1460,17301
ASAP_2_Final_github_train_meta-llama3-1-8b-instruct-v1-0_guidelines_prompt.json,score,-0.6606936416184971,10,17300
ASAP_2_Final_github_train_meta-llama3-1-8b-instruct-v1-0_keywords_system_prompt.json,score,-0.44259216456720213,20,17306
ASAP_2_Final_github_train_openai-gpt-oss-120b-1-0_guidelines_prompt.json,score,-1.473854509735945,5,17307
ASAP_2_Final_github_train_openai-gpt-oss-120b-1-0_keywords_system_prompt.json,score,-0.6788293753972381,10,17307
ASAP_2_Final_github_train_openai-gpt-oss-20b-1-0_guidelines_prompt.json,score,-1.4441650771631698,5,17301
ASAP_2_Final_github_train_openai-gpt-oss-20b-1-0_keywords_system_prompt.json,score,-1.1025366924765978,5,17306
